areaCodeName,city,degreeName,detail_href,headCount,highMonthPay,jobId,jobName,keyUnits,location,lowMonthPay,publishDate,recId,recName,recProperty,recScale,recTags,sortPriority,updateDate,userType
北京,北京,本科,https://job.ncss.cn/student/jobs/5A6kdwivrBtpGdLYetzcnj/detail.html,8,50.0,5A6kdwivrBtpGdLYetzcnj,咨询顾问（财务金融方向）,0,北京市朝阳区北京市嘉铭奥森产业园,1.0,2020-03-05 17:33,-,北京中电普华信息技术有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
山东,青岛,本科,https://job.ncss.cn/student/jobs/4fRArUvG9ip2QftdfTR11B/detail.html,20,50.0,4fRArUvG9ip2QftdfTR11B,技术支持工程师,0,山东省青岛市青岛市高新区华贯路鼎信科技产业园,1.0,2020-03-05 17:33,-,青岛鼎信通讯股份有限公司,上市公司,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/4eDmgMLzHcH5TKaJ8hEnxS/detail.html,3,50.0,4eDmgMLzHcH5TKaJ8hEnxS,电力应用软件支撑平台运维,0,北京市海淀区北京市海淀区清河小营东路15号,1.0,2020-03-05 17:33,-,北京科东电力控制系统有限责任公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/4hynHte8LBNRgj18tgUTsY/detail.html,1,50.0,4hynHte8LBNRgj18tgUTsY,运维,0,北京市海淀区北京市海淀区北清路 中关村环保科技园 文松路1号院 中国科学院计算技术研究所新主楼三层,1.0,2020-03-05 17:33,-,北京中科睿芯科技有限公司,民营企业,100-499人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/4XpiCA8unJYbRzkBzMmjYn/detail.html,1,50.0,4XpiCA8unJYbRzkBzMmjYn,电气一次设计工程师,0,北京市昌平区北京市昌平区南邵镇南中路 16 号 1 号产业大厦,1.0,2020-03-05 17:33,-,中电普瑞电力工程有限公司,国有企业,500-999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/54xpZm2Zu6asMLr3apGBku/detail.html,10,50.0,54xpZm2Zu6asMLr3apGBku,Java开发工程师,0,北京市海淀区北京市海淀区知春路7号致真大晒,1.0,2020-03-05 17:33,-,北京经纬恒润科技有限公司,民营企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/4oQ8sVb7zSLdCkEEU4AFLx/detail.html,2,50.0,4oQ8sVb7zSLdCkEEU4AFLx,5G解决方案工程师,0,北京市朝阳区北京市嘉铭奥森产业园,1.0,2020-03-05 17:33,-,北京中电普华信息技术有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,本科,https://job.ncss.cn/student/jobs/4SwCrAVmBtYPtkPQ1HdGZ6/detail.html,10,50.0,4SwCrAVmBtYPtkPQ1HdGZ6,软件交付工程师,0,北京市石景山区北京易华录信息技术股份有限公司,1.0,2020-03-05 17:33,-,北京易华录信息技术股份有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
北京,北京,硕士,https://job.ncss.cn/student/jobs/4CqmgeWfWFRGQcmGoZ2kZD/detail.html,10,50.0,4CqmgeWfWFRGQcmGoZ2kZD,芯片验证工程师,0,北京市海淀区北京市海淀区中关村南四街4号,1.0,2020-03-05 17:33,-,中国科学院软件研究所,机关/事业单位/非营利机构,500-999人,,0,2020-03-05 17:33,11
山东,烟台,本科,https://job.ncss.cn/student/jobs/4Wtku2wRgRnogveuyqigMD/detail.html,10,50.0,4Wtku2wRgRnogveuyqigMD,嵌入式软件开发工程师,0,山东省烟台市山东省烟台市芝罘区机场路2号,1.0,2020-03-05 17:33,-,东方电子股份有限公司,国有企业,1000-4999人,,0,2020-03-05 17:33,11
